Deal ID;Contract number;Contract date;Contract expiration date;Duration of the agreement (in years);Comment on contract
12;;2008-12-08;;70;"Legal Papers and Rights for Investment Timeline (2007-2008)
1. Application for investment dated 27 November 2007 by company
2. Minute dated 25 April 2008 on study and evaluation on the land concession.
3. Letter No. 2453/238 KSK.NP.PK dated 16 May 2008 by Ministry of Agriculture, Forestry, and Fisheries on the request land concession 7,000 hectares located in Srechis and kbal Damrey Communes, Sambo District, Kratie Province.
4. Letter No. 672 SCN dated 20 May 2008 by Council Minister.
5. Letter No. 1994/302 KSK.NP.PK dated 11 June 2008 by Ministry of Agriculture, Forestry, and Fisheries on the request of Full Power Delegation for signing contract on 7,000 hectares.
6. Letter No. 52 SBT dated 16 June 2008 by Royal Government on the full power delegation to Minister of Ministry of Agriculture, Forestry, and Forestry to sign the contract with company."
14;;1996-01-09;;;"Progress of Implementation after signing the contract

1. 2001 planted cashew seed 25 hectares
2. 2002 planted cashew seed 40 hectares
3. 2003 planted cashew seed 100 hectares
4. 2004 planted cashew seed 170 hectares
5. 2005 planted cashew seed 180 hectares, Mango 20 hectares and Jackfruit 20 hectares
6. 2006 planted cashew seed 180 hectares, Mango 30 hectares and Jackfruit 30 hectares"
16;;2005-05-09;;70;investment on agro-industry plantation and animal husbandry
18;;2006-03-15;;70;Active status of Economic Land Concession by the Ministry of Agriculture, Forestry and Fisheries
26;;2000-10-26;;70;On active status of Economic Land Concession by the Ministry of Agriculture, Forestry and Fisheries.
28;;1999-09-13;;70;"7 year Land Utilization Plan
Year 1: 700 hectares
Year 2: 800 hectares
Year 3: 1,000 hectares 
Year 4: 1,000 hectares 
Year 5: 1,200 hectares 
Year 6: 1,200 hectares
Year 7: 1,500 hectares"
32;;2006-07-17;;70;
37;;2007-07-18;;70;
38;;2005-04-21;;70;
45;;2007-11-13;;70;On active status of Economic Land Concession by MAFF
52;;2006-03-15;;70;
54;;2001-11-23;;70;
59;;2009-07-31;;70;
62;;2006-09-29;;70;
65;;2009-07-31;;70;
71;;2000-06-07;;70;
74;;2006-03-16;;70;
78;;2005-11-08;;70;
80;;2000-03-18;;70;
85;;2000-01-08;;70;
88;;;;99;
89;;2006-01-24;;70;
92;;1999-10-15;;70;
96;;2001-04-20;;70;
97;;2006-04-12;;70;
98;;2009-12-08;;70;
99;;2006-04-12;;70;
102;;2005-08-08;;70;
103;;2006-09-29;;70;
104;;2008-05-27;;;
110;;2000-05-02;;70;
111;;2002-04-23;;70;
114;;2004-09-29;;70;
116;;2005-04-21;;70;
150;;2008-09-10;2067;60;
151;;2001-07-26;;20;
154;;;;30;
181;N0. 34/HGU/BPN/98;1998-08-29;2033-08-28;35;*In 1998, the company received its Land Use Rights (HGU) for 22,780 hectares through the decision of the Agrarian Ministry/Head of National Land Body (N0. 34/HGU/BPN/98). The company received two HGU Certificates from Buol Toli-Toli National Land Body for 16,434.388 hectares and 6,346.478 hectares for a term of 35 years which will end on August 28 2033.
185;;;;35;
185;;;;20;*Feb 2017: PT PLN (Persero) and PT Perkebunan Nusantara XIII (PTPN) signed a memorandum of understanding for the sale and purchase of electricity from the by-product of the Palm Oil Mill (PKS) and the construction of a gasification Biomass Power Plant (PLTBm) in West Kalimantan planned to last for 20 years.
185;;;;;*16/2/2016: Perkebunan Nusantara XIII, Nurhidayat and Head of the West Kalimantan High Prosecutor's Office signed a joint agreement on the handling of legal problems in the civil and state administration sector to help the company save and secure all assets controlled by PTPN XIII from parties trying to take over the assets.
196;;;;;Land has a total area of approximately 77,766 hectares, which represents Land Rights (HGU) that will expire on various dates up to year 2044. The Group’s management believed that the term of HGU can be renewed upon expiry.
258;;2009;;;
310;;;2072;;
313;1;2002;2058;56;This contract is for Sejap Estate.
313;2;2002;2067;65;There are two expiry dates of the contract for Tegai Estate. The second expiry date will be in 2095.
320;;;;60;
324;;;;60;
325;;;;;Various leaseholds expiring between 2047-2072
326;;;;60;
328;;;;60;
329;;;;6;
329;;1996;2066;70;Acquired 3,079 ha tree plantation with land rights for 70 years (since 1996) in China via Anhui Tongling Wood Plantation Co., Ltd. (http://www.samling.com/corporate_profile.php)
330;;;;99;
334;;;;1991;
451;MPSA 261-2008-XIII;2008-03-10;2033;25;
451;MPSA 305-2009-XIII;2009-12-23;2034-12-23;25;
492;MPSA No. 220-2005-IVB;2005-12-01;2030-12-01;30;Mineral Production Sharing Agreement issued by the Department of Environment and Natural Resources.
494;;2005-01-01;2019-11-30;;looking at BFAR (government) records, it seems the contract lasts for 2 years and then the company renews for another 2 years.
510;;;;5;
513;;;;5;
541;;;;30;
543;;;;;*The group has recently signed a contract with E.C. EURO Consult to transport its paper and pulp production equipment imported from Canada. The $99.5 million contract will cover assembling design, upgrading and operating the four production lines, valued at $49 million, which the Tan Mai Group bought from a factory in Quebec.
569;;1995-01-01;;90;
569;;2007-06-18;;5;Formal approval lasts for 5 years and can be extended
590;;;;30;
616;;2007-04-12;;;
629;;;;99;
650;;;;20;
654;;2005-10-25;;30;
665;;2009-01-15;;;
666;;2009-02-16;;;
677;;2008-01-09;;;
691;;;;50;
1060;;2000-05-16;;35;
1193;;;;40;
1198;;;;50;
1305;;;;20;
1374;;;;25;Duration of agreement from when contract first signed in 2003. It is not clear if the duration has been extended with the new lease transferred in 2019.
1388;;2009-07-23;2072-07-29;63;Another data source states 26:06:2009. Renewable for a further 30 years. The company, government and community are to review the agreement every 5 years.In 2009, the Liberian government granted a 63-year concession to the Malaysian Company, with a total land area of 311,187 hectares in the counties of Bomi, Cape Mount and Gbarpolu in Western Liberia and Bong in Central Liberia.  220,000 hectares of the amount is stipulated for the planting of oil palm.
1499;;;;;Decree No. 07-141
1518;;;;30;
1992;;;;25;
2033;;;;99;
2047;;2005;;35;
3005;;2010-05-14;2060-05;50;Contract was signed between the company and  the Paramount chief of Bureh chiefdom ( Hon. Bai Bureh Sallu Lugbu II) representing the tribal authority of Bureh, Kasseh and Maconteh chiefdom as well as land owners. There is another lease agreement dated 22 April 2009 but I used the latest contract for 2010 as its possible that the previous one was surrendered/ammended. Lease with possible renewal every 21 years,option to renew for another 21 and then another seven years.
3124;;;;99;
3156;;;;50;
3177;;;;99;The agreement for the lease – lease back for Portion 622 – this is a 99 year lease.
3383;MPSA No. 285-2009-IVB;2009-07-22;2034-07-22;25;Registration of MPSA is still pending as of May 2021.
3391;;;;99;
3416;;2010-01-29;;70;
3418;;2011-10-29;;70;
3448;FMC-0003;2008-10-06;2033-10-05;25;
3452;FMC-006;2009-09-17;2034-09-16;25;
3466;MPSA No. 349-2010-IX;2010-06-28;2035-06-28;25;Mining permit almost cancelled in 2017 because project is located on or near an identified watershed area.
3487;;2009-07-09;;70;
3488;;2009-07-23;;;
3489;;2012-02-24;;;
3491;;2009-07-09;;70;
3495;;2010-01-29;;70;
3509;18/menhut-ii/2009;2009-01-01;;60;
3530;;2012-05-18;;99;
3551;;;;60;66,190.00 certified area for Sustainable Forest Management as per MALAYSIAN TIMBER CERTIFICATION COUNCIL
3623;;2007-11-30;2106-01-01;99;
3658;;2008-09-11;2107-09-11;99;"Special Agriculture and Business Lease (SABL)
Despite serious irregularities of the company, the SABL recommended only the sub lease is revoked last June of 2014."
3710;;2010-11-30;;99;Special Agriculture ad Business Lease (SABL)
3712;No.23 / HGU / BPN RI / 2011;2011-04-26;;30;"stated that all areas under PT.
UMW and PT TUM management are non-forest
area (Areal Penggunaan Lain - APL)"
3738;;;;30;
3788;;;;50;
3801;;;;59;
3814;;2010-08-23;2035-08-23;25;The contract was signed on 17 August 2010 in the Ethiopia calendar which differs from global calendar.
3838;;2011-03-19;2036-03-19;25;The contract was signed 10 March 2003 according to Ethiopian Calendar which differs from global calendar.
3839;;2010-01-09;2035-01-09;25;The contract was signed in 2002 Ethiopia  Calander
3883;;2014-10-03;2113-10-03;99;
3966;;2011-02-26;;;
3969;;2013-02-14;;30;
3984;;2008-03-13;;;
3994;15;2012-11-15;;2;
3995;16;2012-11-21;;2;
3996;17;2012-11-21;;2;
4001;;;;2;
4003;;;;2;
4004;;;;2;
4005;;;;2;
4006;;;;2;
4018;;2005-08-22;;15;
4103;;2008-04;;;
4107;;;;18;
4111;;;;30;
4112;;;;30;
4130;;2003-09-18;;32;
4166;;2008-11-12;;49;
4270;;;;40;
4276;;;;40;
4301;;;;50;a 50-year lease, with a 21 year extension option. However, in 2017, the project was abandoned.
4318;;2004-09-30;;60;
4416;;;;10;
4420;;2011-04-06;;;
4425;;2009-08-20;;;
4427;;2011-07-22;;;
4429;;2010-03-18;;;
4442;;2010-12-30;;;
4475;;2013-07-23;2048-01-01;35;35 years, expiring in 2048
4476;;2019-01-02;2052-01-01;35;35 years, expiring 2052
4506;;;;99;
4507;;;;15;
4621;;;;5;
4638;;;;33;
4701;;2001-01-01;2080-01-01;79;Leasehold expiring 2080-2086
4702;;2001-01-01;2083-01-01;82;Leasehold expiring 2083
4703;;;;;Leasehold expiring 2037,2081, 2097 for land acquisitions from 2003 to 2007
4704;;2003-01-01;2888-01-01;85;Leasehold expiring 2888
4705;;2003-01-01;2090-01-01;87;Leasehold expiring 2090
4707;095311667;1983-08-07;;;Linbar estate	 land certificate is numbered 095311667 and is dated	08/07/83  (4,840 ha) from the Government of	 the	 State	 of	 Sabah,	 and	 includes	 lease	 condition: which	is	for	the	cultivation	of	oil	palm. This was before the land was purchased by Right Purpose. IOI Group acquired the land in 2003 with a leasehold expiring 2081.
4707;;2003-01-01;2081-01-01;78;
4708;;2003-01-01;;;Leasehold expiring 2079-2081, 2090, 2092
4709;;2003-01-01;2082-01-01;79;Leasehold expiring 2082.
4712;;;;61;Leasehold expiring 2074, 2077-2079
4722;;;;40;
4780;;;;10;
4785;;;;99;
4801;Regent Decree of Ketapang No: 384;2009-10-23;;;First license area for oil palm plantations covering an area of 19,400 ha through the Regent Decree of Ketapang on 27th April 2005. Based on a new Regent Decree of Ketapang No: 384, 2009 on 23rd October 2009, the permit covered an area of 15,119 ha. Renewal No.503/PEM/2012 dated 5th December 2012.
4802;Ketapang Regent Decree No. 106 Year 2005;2005-04-27;;35;"a. Location Permit: License area for 15,800 ha based on Ketapang Regent Decree No. 106 Year 2005 dated 27th 
April 2005. License Area Extension. Regent Decree of Ketapang No: 037/PEM/2008 dated 28th January 2008
Renewal No. 90/2009 dated 4th March 2009. 
b. Plantation Operational License/IUP: through the Regent Decree of Ketapang No : 551.31/0707/ DisbunC/2005 dated 11th April 2005 
c.Land Use Title (HGU): Issued by BPN (HGU Certificate No.02 BPN, Ketapang, West Kalimantan dated 15th October 2009 which declared the HGU for PT SMA is for around 8,374 ha."
4830;;;;49;
4871;;;;25;
4874;;2012-08-24;;;
4875;123/Menhutbun-VII/2000;2012-02-29;;;
4876;125/Menhutbun-VII/2000;2012-02-29;;;
4879;369/Menhutbun-VII/2000;2012-04-05;;;
4880;366/Menhutbun-VII/2000;2000-04-05;;;
4885;;;;5;
4911;;;;5;
4929;;;;25;
4940;;;;50;Renewable for extra 25 years
4965;;;;60;Sustainable Forest Plantation Management Certificate under Malaysian Timber Certification Council Expiration is on 14 January 2024
4965;;;;;*In 2003, Timor Enterprises Sdn Bhd has entered into an agreement with Samling Reforestation (Bintulu) Sdn Bhd (SRB) for the transfer of licence relating to a planted forest in Bintulu, Sarawak, for RM11.49mil cash.
4989;049/14;2014-04-25;2039-04-24;25;
4990;011/11;2011-08-04;2036-08-03;25;
4991;TSC0005;2008-06-27;2011-06-25;3;
4992;TSC-0001;2008-06-27;2011-06-25;3;
4993;022/11;2011-10-24;2036-10-23;25;
5015;;2008-06-27;;3;
5021;021/11;2011-10-24;2036-10-23;25;
5023;;2008-06-27;;3;
5024;;2002;2052;50;
5029;020/11;2011-10-24;2036-10-23;25;
5051;;2013-01-24;;;
5057;;;;24;
5172;MV-00014840;2006-08-21;2036-08-21;30;
5193;;2012-08-01;;30;
5198;46221000302;2007-10-23;;;
5199;;;;50;
5200;44221000072;2008-12-29;;50;
5202;441023000001;2009-09-14;;50;
5205;;2016;;50;
5216;019/11;2011-10-24;2036-10-23;25;
5217;055/14;2014-06-26;2039-06-25;25;
5220;024/11;2011-10-24;2036-10-23;25;
5221;025/11;2011-10-24;2036-10-23;25;
5227;023/11;2011-10-24;2036-10-23;25;Contract number: 023/11. Contract expires 23/10/2036. In 2018 the concession held by SEFOCO was cancelled.
5245;2416;2006-08-17;;50;
5249;3646;2009-11-11;;50;
5251;2508;2008-12-24;;;
5253;192022000141;2009-02-27;;;
5254;67;;;49;Decision No. 67/2006/QĐ-UBND from https://thuvienphapluat.vn/van-ban/Thuong-mai/Quyet-dinh-67-2006-QD-UBND-phe-duyet-du-an-xay-dung-khu-cong-nghiep-Khai-Quang-Vinh-Phuc-275388.aspx
5255;Document No. 805/CP-CN;;;;18/06/2003: Document No. 805/CP-CN of the Prime Minister on investment policy for construction of Binh Xuyen Industrial Park - An Thinh Vinh Phuc Construction Investment Co., Ltd is the Owner.
5255;Document No. 1297/UBND-CN2;;;;02/04/2008: Document No. 1297/UBND-CN2 of Vinh Phuc People's Committee allowed the company to expand Binh Xuyen Industrial Park to the Southeast with an area of ​​290ha.
5257;;;2057-01-01;;
5260;;;2054;;
5261;;;2060-12-17;;
5262;637;2006-04-25;2056-04-25;50;
5265;1208;2015-06-26;;;
5273;;2010;;;
5274;6719;2008-10-16;2020;11;
5275;23;2004-01-07;;;
5276;1300;2015-04-15;;;
5281;;2009-11-03;;;Decision 3061 / QD - UBND
5303;;;;50;
5364;;2008-06-18;;;
5387;;2017-01-12;;;
5427;;;;40;
5435;MV-00015603;2010-06-24;2040-06-24;30;
5446;;2011-11-01;;5;
5447;;2007-10-29;2057-10-28;50;
5450;46221000275;2007-10-03;;;
5451;4602002278;2007-04-24;;;
5452;452;2002-06-14;;;"Decision approving the detailed planning of industrial parks: No. 972 / QD-BXD of July 17, 2002 of the Ministry of Construction approving the detailed planning of My Phuoc industrial park, province Binh Duong; No. 3557 / QD-UBND dated 17/8/2007 of the People's Committee of Binh Duong Province regarding the adjustment of detailed planning of My Phuoc Industrial Park https://kcn.binhduong.gov.vn/Lists/ThongTinCacKCN/DispForm.aspx?ID=12"
5453;222;2005-01-20;;;"Establishment decision: No. 59 / TTg-CN dated January 14, 2005 of the Prime Minister on the permission for the establishment of investment and establishment of My Phuoc 2 Industrial Park, Binh Duong province; No. 222 / QD-CT of January 20, 2005, of the Chairman of Binh Duong People's Committee, on the establishment and approval of investment projects on construction and commercial operation of technical infrastructure of My Phuoc 2 Industrial Park

-QĐ approving the Report on environmental impact assessment No. 1764 / QD-BTNMT dated December 7, 2004 of the Ministry of Natural Resources and Environment."
5454;2203;2005-10-27;;;
5455;46221000085;2007-01-30;;;"- Establishment decision: No. 3681 / QD-CT issued by People's Committee of Binh Duong Province on September 29, 2003 approving the investment project on construction and commercial operation of infrastructure of Viet Huong 2 industrial park
- Investment certificate: No. 46221000085 issued by Binh Duong Industrial Zones Authority on 30/01/2007
- Decision approving the detailed planning of industrial park: No. 5157 / QD-UBND issued by People's Committee of Binh Duong province on February 12, 2003."
5456;46221001014;2013-09-12;;;"- Document No. 1158 / TTg-KTN of the Prime Minister dated July 8, 2010 on the addition of Tan Binh Industrial Park - Binh Duong province to the Planning for development of industrial parks in Vietnam.

- Decision No. 252 / QD-UBND of the People's Committee of Binh Duong Province, issued on February 2, 2012, approving the detailed planning project of Tan Binh Industrial Park in Tan Binh commune, Bac Tan Uyen district, Binh Duong province. .

- Business registration certificate of Joint Stock Company No. 3702068452 issued by Binh Duong Department of Planning and Investment for the first time on August 6, 2013;

- Investment certificate No. 46221001014 issued by Binh Duong Industrial Zones Authority for the first time on September 12, 2013."
5457;1307;2010-05-06;;;"Decision approving the detailed planning of industrial parks: No. 2169 / QD-BXD of the Ministry of Construction on November 22, 2005; No. 1308 / QD-UBND issued by the People's Committee of Binh Duong province on May 6, 2010, approving the adjustment of the detailed planning of 1/2000 scale of Nam Tan Uyen industrial park in Tan Uyen District, Binh Duong province. https://kcn.binhduong.gov.vn/Lists/ThongTinCacKCN/DispForm.aspx?ID=15&PageIndex=1"
5460;346;2006-03-03;;;"Decision approving the detailed planning of industrial zone: No. 346 / QD-BXD dated March 3, 2006 of the Ministry of Construction approving the detailed planning of Rach Bap Industrial Zone, Binh Duong; No. 3962 / QD-UBND dated 13/12/2010 of Binh Duong People's Committee approving the detailed planning adjustment of Rach Bap Industrial Zone, Binh Duong Province https://kcn.binhduong.gov.vn/Lists/ThongTinCacKCN/DispForm.aspx?ID=17&PageIndex=1"
5461;1199;2002-09-24;;;"- Certificate of investment / business registration: No. 3700147268 first registered on March 27, 1996 by the Department of Planning and Investment of Binh Duong province, changed 34 times on 24/8/2010.
- Establishment Decision: No. 796 / TTg of October 26, 1996 of the Prime Minister on investment in construction projects and infrastructure business in Song Than 2 industrial park, Song Be province.
- Decision approving the detailed planning of industrial park: No. 1199 / QD-BXD dated September 24, 2002 of the Ministry of Construction approving the adjustment of the detailed planning of Song Than 1 and 2 Industrial Zones, Binh Duong province. ; No. 958 / QD-UBND of March 31, 2008, approving the adjustment of detailed plannings, Song Than 2 Industrial Park, Binh Duong province."
5462;46221000224;2007-08-06;;;
5463;1308;2006-09-18;;;
5466;1437;2016-09-09;2066-09-08;50;
5467;;2002-12-19;2052-12-18;50;Phase 1
5468;;2005-02-24;2055-02-23;50;"+  First Phase: 344 ha (Operational time: 2005 – 2055)
+ Second Phase: 314 ha (Operational time: 2016 – 2066)"
5469;;2007-01-01;2057-01-01;50;Phase 1: 272 hectares
5469;;2010-01-01;2060-01-01;50;Phase 2: 95.8 hectares addition to Phase 1
5470;856;2007-06-28;;50;
5471;1657;2012-12-26;;50;
5473;1546;2008-09-18;;;
5474;436;2009-04-13;;47;
5475;856;2007-06-28;;;
5478;6221000045;2008-07-03;2058-07-03;50;
5479;335;2006-03-22;;50;
5484;4201000068;2007-05-31;;50;
5485;4201000075;2007-09-20;;;
5487;1454;2005-04-01;2055;50;
5499;MV-014917;2009-05-22;2039-05-22;30;
5502;1826;2010-10-07;;;
5503;1107;2006-08-21;2062-01-01;;
5506;1645;2012-10-15;;50;
5508;886;2014-06-12;;52;
5512;2360;2010-08-09;;50;"Legal document: Document No. 934 / TTg-KTN dated 10/6/2009 of the Prime Minister “Regarding the addition of Hoanh Bo Industrial Park, Quang Ninh Province and the Planning for the Development of Industrial Zones in Vietnam”
– The detailed construction plan of 1 / 2,000 scale of Hoanh Bo Industrial Park was approved by the Provincial People’s Committee in Decision No. 2360 / QD-UBND dated August 9, 2010.
https://iipvietnam.com/khu-cong-nghiep-hoanh-bo-quang-ninh-441860.html"
5515;1685;2015-07-27;;50;
5516;1262;2009-10-23;;;
5517;1687;2004-07-20;2054-07-20;52;
5537;634;2012-04-04;;;See: https://vietnambiz.vn/kcn-cat-trinh-368-ha-chinh-thuc-ve-tay-bamboo-capital-20200629152401017.htm
5538;35221000043;2009-03-27;2059-07-17;50;
5904;;2014-06-16;;;Judicial decision, where is available criminal activity with land lease. The Contract was signed between Company and person, who was not an owner of the land plot and did not have any documents. Size of this land = 533.24 ha in Lvivska Region and the owner was State.
5926;;;;99;
5946;;2010-01-04;;25;
5949;;2009-04-14;;11;
5950;;2011-01-04;;30;
5951;;2011-10-06;;17;
5952;;2011-01-17;;2;
5953;;2011-07-15;;11;
5954;;2011-06-15;;25;
5977;;2004-11-09;;;Size -8,1740 ha, cadastral number - 6321684000:02:002:0038 [ under the judicial decision]
5995;;2013-01-09;;70;
6005;MV-007863;2001-03-19;2031-03-19;30;
6010;MV-00014657;2009-04-24;2039-04-24;30;
6013;;;;30;
6014;;;;50;
6026;;;;30;
6039;;2010-05-01;2020-04-30;10;
6057;;;;50;Renewable for another 50 years
6130;;;;50;
6170;;2012-01-26;;50;
6305;;2011-09-07;;;
6306;;2012-12-12;;50;Ministry of Environment in 2012 granted Lim Royal a 50-year economic land concession licence on 9,068ha of land in the province’s Koh Nhek and Pech Chreada districts
6308;;2011-04-01;;50;
6313;;2010-12-06;;;
6325;;2007-07-09;;70;
6328;;2010-05-05;;50;original term was 70 years but was reduced to 50 years
6335;;2011-05-19;;70;
6336;;2011-05-03;;;
6512;;2011-03-23;;30;Build, Own, Operate and Transfer (BOOT) scheme
6520;;2012-05-11;;;
6521;;2007-04-10;;25;After the end of the concession period, ownership of the plant will be transferred to the Lao government.
6531;;;;27;
6533;;2012-08-09;;;
6538;;2015-08-01;;27;
6543;;2013-09-19;;;
6556;;2011-04-06;;50;
6557;;2011-03-21;;;
6578;;2011-01-01;;25;
6584;;2014-01-01;2084-01-01;70;The project was implemented under a 70-year build-operate-transfer (BOT) concession that will expire in 2084.
6589;;2014-08-19;;;
6592;;;;;"Under the MoU, the feasibility study will take about 18 months to complete. The company
will be granted a concession period of 30 years after construction."
6595;;2012-02-09;;25;
6597;;2009-01-01;;50;
6607;;;;30;"Build-Own-Operate Transfer (BOOT); some sources say that the BOOT covers 30 years but others say 50 years"
6608;;;;50;
6664;;2019-09-18;;50;"Congress has granted proponent legislative franchise for the construction, operation, and maintenance of the airport.

The company signed the agreement last September 18, 2019."
6666;;;;50;
6684;;;;25;
6685;;;;7;
6695;;2003-07-03;2028-07-03;25;"Upon renewal for another 25 years after contract expiration.

Awarded by the Department of Environment and Natural Resources through the Integrated Social Forestry (ISF) program"
6698;;;;30;
6699;;;;40;
6703;;;;50;
6705;;;;;Cannot be more than 10 years as per AVA law.
6710;;2004-12-16;2024-12-16;20;"Upon renewal on contract expiration.

In 2018, Secretary of Agrarian reform submitted to the President a recommendation for the revocation of the Joint Venture Agreement on grounds of huge losses incurred by the enterprise and complaint from the landowners on unfair terms of the contract."
6711;;2014-07-15;2039-07-15;19;"Contract signing/expiration dates were the same for the following ARBOs/POs/ARBs:
1) Siari Valley Agrarian Reform Beneficiaries Multi-Purpose Cooperative (SVARBEMCO)
2) Depani, Aguirre, Gupot, Linay, Lingatongan, Saluyong Agrarian Reform Cooperative (DAGLLISARCO)
3) San Miguel Agrarian Reform Beneficiaries Multi-Purpose Cooperative (SMARBEMCO)
5) Agrarian Reform Beneficiaries of Marcelo Multi-purpose Cooperative (ARBEMCO)
6) Gabu-Balas-Lawigan Agrarian Reform Beneficiaries Cooperative (GABALARBECO)



Upon renewal on contract expiration."
6711;;2015-07-23;2040-07-23;25;"Contract with Kauswagan Agrarian Reform Beneficiaries Multi-Purpose Cooperative (KARBEMPCO)


Upon renewal on contract expiration."
6711;;2015-07-24;2040-07-24;25;"Contract signing/expiration dates were the 

same for the following ARBOs/POs/ARBs:
1) A. L. Micubo Agrarian Reform Beneficiaries Association (ALMARBAS)
2) S. Cabral Agrarian Reform Beneficiaries Association (SCARBAS)

Upon renewal on contract expiration."
6711;;2015-05-15;2040-05-15;25;"Contract with Langatian CARP Beneficiaries Multi-Purpose Cooperative (LACARBEMCO).

Upon renewal on contract expiration."
6711;;2013-08-28;2038-08-28;25;"Contract with Midsalip Farmers Multi-purpose Cooperative (MIFAMCO).

Upon renewal on contract expiration."
6719;;2011-01-01;2023-12-31;13;"Contract details vary in terms of duration since there are with 9-30 year terms. Note, however, that for contracts with less than 25 years duration, there is the chance for these to be extended up to 25 years since land lease agreements are usually 25 years in terms of length. 

These contract are upon renewal on contract expiration."
6722;;2005-01-07;2030-01-07;25;The investor has 25-year contracts with 14 members of FARBECO.
6722;;2004-08-04;2029-08-23;25;The investor has 25-year contracts with 20 members of ITDAFA
6722;;2005;2020;15;"The investor has 15-year contracts with 31 individual ARBs with the indicated details. Note, however, that there is the chance for it to be extended up to 25 years since land lease  agreements are usually 25 years in terms of length. 

The investor also has 25-year contracts with 2 more individual ARBs (i.e. 2002 to 2027 and 2003 to 2027).

These contracts are upon renewal for another 25 years on expiration."
6724;;2013;2018;5;"The investor has 5-year contracts with Checkered Farms ARB MPC (CFARBEMPCO) and Soriano farms ARBs Multipurpose Cooperative (SFARBEMCO) from 2013-2018 and 10-year contracts with DAPCO ARBs Cooperative (DARBCO), Magatos ARB Multi-purpose Cooperative (MARBMCO), AMS Kapalong ARB MPC (AMSKARBEMCO), and Mampising CARP Benficiries Cooperative (MCBCI). In North Cotabato, it has a 20-year contract with individual ARBs.  

The investor also has a 25-year contract with Tagnanan CARP Beneficiaries Coop, Inc. (TCBCI).

These contracts are upon renewal upon expiration."
6725;;1998-01-01;2032-12-31;35;"The investor has 35-year contract with Agusan Plantation Inc.-Agrarian Reform Beneficiaries Multi-purpose Cooperative (API-ARBMPC). Aside from this, it has 25-year contracts with 10 individual ARBs and Cuevas Agrarian Reform Beneficiaries Multi-purpose Cooperative (CARBEMCO).

The investor also has 16-year contracts with an individual ARB (1996-2021) and Cebolin Multi-purpose Cooperative (CEMPCO) (2003-2019). Note,however, that there is the chance for it to be extended up to 25 years since land lease  agreements are usually 25 years in terms of length. 

These contracts are upon renewal for another 25 years upon expiration."
6730;;2014-12-12;2024-12-12;10;This is the contract date for the start of delivery of product. No other details available.
6731;;2013;;;Renewable every cropping.
6732;;2005;2020;15;"The investor has 15-year contracts with individual ARBs, in which the contracts were signed from 2005-2010 and will expire on 2020-2025. Note, however, that there is the chance for it to be extended up to 25 years.

These contracts are upon renewal on contract expiration."
6734;;2003-12;2023-12;20;"There is the chance for it to be extended up to 25 years since land lease  agreements are usually 25 years in terms of length. 

This contract is upon renewal for another 25 years upon expiration."
6735;;1998;2028;30;
