Deal ID;Contract number;Contract date;Contract expiration date;Duration of the agreement (in years);Comment on contract
6738;;2009;;;PADCOR eventually sold the lease to Musahamat in 2009. Musahamat approached the ARBs with a very similar contract to PADCOR. They signed the contracts because of a five-year advance on the lease payments reported last 2016.
6739;;1998;2028;30;
6756;;;;10;For some individual ARBs, however, have terms such as 14,16, 19, and 20 years.
6757;;;;15;
6758;;;;25;Contract varies from 10-30-year terms.
6760;;2007-07-30;2047-07-30;40;
6761;;1998-06-10;2028-06-10;30;
6762;;1998-06-10;2028-06-10;30;
6763;;;;25;
6764;;2013-03;2038-03;25;
6765;;2010-03;2030-03;20;There are also 25-year contracts with other individual ARBs.
6766;;2008-07-30;2023;15;
6767;;2008;2023;15;
6768;;2006;2031;25;Most contracts are from 2006-2031 while others vary but all of the contracts are 25-year term contracts.
6799;;;;99;
6856;;1998;2032;34;"The investor has two 34-year contracts with National Guthrie Estates, Inc., Multi-purpose Cooperative (NGEI-MPC).

NGEI entered into a Lease Agreement with the NDC-Guthrie Estates, Inc., which is now assumed by Filipinas Palm Oil Plantations, Inc., for FPPI to continue the operation of its palm oil plantation in the said lands for a period of twenty five years."
6861;;2003;2008;5;In Davao del Norte, the investor is in partnership with Sumifru Corporation where they have a 5-year contract with Diamond Farms, ARBs MPC (DARBMUPCO). Note that there is the chance for it to be extended up to 25 years since land lease agreements are usually 25 years in terms of  length.
6913;;2018-11-19;;;
7033;;2004-09-30;2029-09-29;25;
7087;;2000-11-21;;;
7177;MPSA No. 150-00-VII;2000-01-07;2025-01-07;25;
7178;MPSA No. 029-95-IVA;1995-09-29;2020-09-29;25;
7178;MPSA No. 029-95-IVA;2020-01-17;2045-09-29;25;The original contract was renewed on 17 January 2020 for another 25 years.
7179;MPSA No. 015-93-X;1993-07-01;2024-07-10;31;"Contract was supposed to expire on July 2018 but 6 year extension was granted February 2019

The term was extended for a period of 6 years on February 07, 2019.
Third Renewal for the Exploration Period was approved on July 3, 2020."
7180;MPSA No. 188-2002-III;2002-12-12;2027-12-12;25;"The contract was cancelled thru Dept. of Environement and Natural Resources Order on
December 28, 2010.

Proponent filed an appeal to the Office of the President."
7181;MPSA No. 024-94-VII;1994-05-11;2019-05-11;25;"The cancellation of MPSA was affirmed thru DENR
Order dated November 27, 2015"
7190;MPSA No. 151-00-CAR;2000-03-09;2025-03-09;25;
7191;MPSA No. 174-2002-VIII;2002-11-19;2027-11-19;25;"The MPSA was cancelled thru DENR Order dated
July 16, 2015.


The MPSA's Order of Cancellation was Final and
Executory on March 11, 2016."
7192;MPSA No. 030-95-VII;2020-02-17;2045-11-09;25;Contract was extended for another 25 years on 17 February 2020
7192;MPSA No. 030-95-VII;1995-11-09;2020-11-09;25;
7193;MPSA No. 156-00-CAR;2000-04-10;2025-04-10;25;
7193;MPSA No. 276- 2009-CAR;2009-01-19;2034-01-19;25;"Date Approved: January 19, 2009
Date of Expiration: January 19, 2034"
7195;MPSA No. 191-2004-III;2004-05-22;2029-05-22;25;"DENR issued a Joint Suspension Order on July 7, 2016. DENR issued on 8 February 2017 order cancelling the MPSA due to violations commited.

Suspension of mining operation of Zambales Diversified Mining Corp. is lifted in 30 September 2019."
7196;MPSA No. 062-97-VIII;1997-03-17;2022-03-09;25;"The MPSA was cancelled thru DENR Order dated June 29, 2015.

Contract cancellation is declared final and executory in 17 June 2016."
7197;MPSA No. 085-97-IX;1997-11-20;2022-11-20;25;The MPSA was cancelled thru DENR Order dated August 6, 2015.
7198;MPSA No. 152-00-CAR;2000-03-31;2025-03-31;25;Mining permit almost cancelled in 2017 because project is located on or near an identified watershed area.
7199;MPSA No. 031-95-XII;1995-12-26;2020-12-26;25;Contract was renewed in January 17, 2020 and extended term for another 25 years or until 2045.
7200;MPSA No. 038-96-VII;1996-03-07;2021-03-07;25;
7200;MPSA No. 038-96-VII;2021-04-19;2046-04-19;25;Contract was renewed for another 25 years in 2021
7205;MPSA No. 165-00-I;2000-10-24;2025-10-24;25;
7206;MPSA No. 153-00-I;2000-03-31;2025-03-31;25;Contract cancelled on Dec 3. 2009.
7207;MPSA No. 091-97-IV;1997-11-20;2022-11-20;25;The MPSA's Order of Cancellation was Final and Executory on April 13, 2016.
7208;MPSA No. 160-00-V;2000-06-23;2025-06-23;25;The MPSA's Order of Cancellation was Final an Executory on March 15, 2016
7209;MPSA No. 166-00-XII;2000-11-14;2025-11-14;25;Mining permit almost cancelled in 2017 because project is located on or near an identified watershed area.
7210;MPSA No. 033-95-X;1995-12-29;2020-12-29;25;
7211;MPSA No. 167-00-IVB;2000-12-07;2025-12-07;25;Mining permit almost cancelled in 2017 because project is located on or near an identified watershed area.
7211;MPSA No. 341-2010-IV;2010-06-09;2035-06-09;25;
7212;MPSA No. 178-2002-XIII;2002-11-21;2027-11-21;25;The MPSA was cancelled thru DENR Order dated Janaury 29, 2016.
7213;MPSA No. 127-98-I;1998-06-25;2023-06-25;25;The MPSA's Order of Cancellation was Final and Executory on April 13, 2016.
7214;MPSA No. 230-2007-X;2007-03-29;2032-03-29;25;The MPSA was cancelled thru DENR Order dated April 8, 2019.
7220;MPSA No. 168-01-V;2001-01-16;2026-01-16;25;
7220;MPSA No. 192-2004-V;2004-05-22;2029-05-22;25;
7224;MPSA No. 169-01-VIII;2001-01-16;2026-01-16;25;"Mining permit almost cancelled in 2017 because project is located on or near a identified watershed area.

Lopez will also revoke the contracts of Jabel Corp. in Abra, Egerton Gold Philippines Inc. in Batangas, Industries Development Corp. in Aurora, Plethora Mineral Corp. in Leyte and Pio Castillo in Cebu reported last February 14, 2017."
7225;MPSA No. 042-95-I;1995-12-21;2020-12-21;25;Submitted application for renewal to Mines and Geosciences Bureau on January 8, 2020
7225;MPSA No. 295-2009-I;2009-11-05;2034-11-05;25;Under Operating Period but no commercial operation.
7226;MPSA No. 172-01-IVB;2001-01-16;2026-01-16;25;Mining permit almost cancelled in 2017 because project is located on or near an identified watershed area.
7230;MPSA No. 043-95-I;1995-12-21;2020-12-21;25;"Contract expired but operator filed application for renewal to the Mines and Geosciences Bureau in January 2020.

Under Operating Period but no commercial operation."
7231;MPSA No. 048-96-IX;1996-09-12;2021-09-12;25;
7232;MPSA No. 186-2002-V;2002-12-12;2027-12-12;25;
7247;;2019-10-29;;;
7276;MPSA No. 173-01-IVB;2001-01-16;2026-01-16;25;Mining permit almost cancelled in 2017 because project is located on or near an identified watershed area.
7277;MPSA No. 049-96-IX;1996-09-12;2021-09-12;25;Contract was cancelled with Motion for Reconsideration.
7278;MPSA No. 187-2002-XI;2002-12-12;2027-12-12;25;
7279;MPSA No. 050-96-IVA;1996-09-17;2021-09-17;25;
7285;MPSA No. 175-2002-I;2002-11-21;2027-11-21;25;
7286;MPSA No. 073-97-VIII;1997-08-20;2022-08-20;25;MPSA was cancelled.
7287;MPSA No. 190-2004-XIII;2004-02-06;2029-02-06;25;"Mining permit almost cancelled in 2017 because project is located on or near an identified watershed area.

The DENR is also cancelling the MPSAs in Dinagat and Surigao, including the company Phigold Metallic Ore and some other companies reported last 2017."
7288;MPSA No. 051-96-III;1996-09-17;2021-09-17;25;
7289;MPSA No. 063-97-IX;1997-04-10;2022-04-10;25;
7290;MPSA No. 103-98-XIII;1998-02-23;2023-02-23;25;Cancellation order for the contract was issued on February 8, 2017.
7291;MPSA No. 193-2004-VII;2004-05-22;2029-05-22;25;Mining permit almost cancelled in 2017 because project is located on or near an identified watershed area.
7292;MPSA No. 056-96-III;1996-10-23;2021-10-23;25;
7318;;2011-01-03;;;Chan Sophea Aphivath Co., Ltd., is a local company located in Domrey Phung and Kompong Domrey Commune, Chloung District, Kratie Province, Kingdom of Cambodia, which was founded in 2009 and was granted 5, 088 hectares of economic lands concession from the Royal Government of Cambodia in Chloung District, Kratie in accordance to a decree no. ១៧៥ អ.ន.ក្រ.ប.ក in 30th December, 2010 in order to contribute to developing country's economy and preserve local resources and nature.
7330;;2007-03-16;;70;From Mean Rithy Co. Ltd., the contract was transferred to Phoeuk Va Rubber Development Kampong Thomin 2011).
7390;;2016;2020-06;5;
7399;;2011-11-18;2061-11-17;50;
7400;Plantation Business License 525/352 / EK / 2005;2005-01-01;;;
7400;HGU 24 / HGU / BPN / 06;2015-09-15;2040-09-15;25;
7400;IPKH189 / Kpts-II / 2000;;;;
7405;130;2015-04-14;;3;It has as concession number 1030. FMU number 08.008
7406;CFMA 5 (Numopoh);2016-05-12;;5;Agreement subject to periodic review every 2 years.
7409;SK HTI no. 155/Menhut- II/2009;2009-04-03;;;"SK HTI No. 4061/Menhut-VI/BPPHH/2005 pembaharuan ijin per 5 th
SK HTI no. 155/Menhut- II/2009
SIUP no. 005/25-06/PB/VI/2012 . 20 JUNI 2012 - 20 Juni 2017"
7410;SK Menteri Kehutanan dan Perkebunan No.951/Kpts-II/1999;1999-10-14;2054-10-14;55;"IUPHHK-HA PT Gema Hutani Lestari, dahulu bernama PT Gema Sanubari berdasarkan SK Menteri Pertanian No.48/Kpts/Um/I/1978 tanggal 25 Januari 1978.
Setelah habisnya masa IUPHHK-HA ini pada tanggal 25 Mei 1998, areal ini dicadangkan kembali oleh Departemen Kehutanan dan Perkebunan kepada PT Gema Sanubari (yang berpatungan dengan BUMN PT Inhutani I), dengan SK No.67/Menhutbun-IV/1998
Pada tanggal 14 Oktober 1999, perusahaan patungan PT Gema Hutani Lestari mendapat ijin UPHHKA-HA tetap berdasarkan SK Menteri Kehutanan dan Perkebunan No.951/Kpts-II/1999 seluas 148.450 ha selama jangka waktu 55 (lima puluh lima) tahun di Kelompok Hutan P. Buru, Provinsi Dati I Maluku."
7411;08-009;2000-10-06;2030-10-06;30;It has as concession number 1031
7412;09-015;2001-01-11;2031-01-11;30;
7422;;2012-09-14;;;The project has been cancelled by the government. The contract authority is the Ministry of Agriculture, Forestry, and Fishery
7425;10-020;2012-04-27;2042-04-27;30;FMU number 10.020 classified in 2005-01-26 and attributed in 2012-04-27
7429;10.045;2007-10-09;;;FMU number 10.045 attributed to FIPCAM in 2007-10-09 and classified as an FMU in 2017-01-17
7452;;2011-09-14;;50;
7494;;2017;2022;5;Lease agreement would be reviewed every 5 years .
7507;529 year 2009;2009-12-20;;;legal documen is Location Permit (Izin Lokasi)
7507;81/PEM/2016;2018-02-05;;;legal documen is Location Permit (Izin Lokasi)
7507;82/PEM/2016;2018-02-05;;;legal documen is Location Permit (Izin Lokasi)
7507;170/DPMPTSP-D.B/2018;2018-05-16;;;legal documen is Plantation Permit (Izin Usaha Perkebunan)
7513;;2005-02-22;2020-06;16;This is an 16 years contract for high rise housing building.
7514;;2012;2030;18;Handed to Army by the government in 2012 with the aim to achieve “Forces Goal 2030”.
7518;;2016;;;Present District Commissioner of Habiganj, Sabina Alam registered the 206.794 Hector Lands for BEZA in October, 2016. Yet the work is not started.
7521;;;;50;BEZA leased land to six investors by 50 years agreement.
7535;;2017;2022;5;The project will take five years to complete, and generate employment, enhance trade and tourism.
7545;4006/5/A&L/1414;2009-11-23;;;The housing project of Jolshiri Abason was accepted by the government in principle through PMs office, AFD, Administration and Management Directorate, Dhaka Cantonment letter no 4006/5/A&L/1414 dated 23 Nov 2009.
7560;IUPHHK-HT No. 2 th 2008;2008-01-03;;35;
7561;iuphhk-ht no. 236/menhut II/2011;2011-04-21;;;
7562;SK No. 931/Kpts-II/1999 jo. SK.484/Menhut-II/2011;1999-10-14;;;
7562;SK.484/Menhut-II/2011;2011-08-19;;;
7564;SK HTI no 87/menhut IV/2007;2007-03-22;2027;20;
7566;sk hti no. 153/2002;2002-05-31;;35;
7568;216/Kpts-V/1992;1992-02-21;;35;
7569;201/Menhut-II/2011;2011-04-08;;;
7580;sk.322/MENHUT-II/2009;2009-05-29;;35;
7581;SK.481/Menhut-II/2013;2013-07-04;;36;
7582;SK.79/kpts-11/1997;1997-06-02;1997;35;
7583;532 tahun 2009;2009-12-30;;;Permitted Area (Izin Lokasi)
7583;165/DPMPTSP-D B/2019;2019-04-22;;;"Plantation Business Permit 
(Izin Usaha Perkebunan)"
7585;SK.670/MENHUT-II/2009;2009-10-15;;35;
7586;sk 59/menhut-ii/2007;2007-02-22;;;
7587;sk 231/menhut-ii/2013;2013-04-04;;3;every 3 years company should re permit
7590;SK.337/Menhut-II/2004;2004-09-17;;;About Permission Business Utilization of Timber Forest Products In imber Company Class Plantation Fiber
7590;SK.688/Menhut-II/2010;2010-12-13;;;Addendum to the Decree of the Minister of Forestry
7591;401/Menhut-II/2006;2006-07-19;;;
7591;SK.333/Menlhk/Setjen/PLA.2/7/2018;2018-07-15;;;
7593;SK.351/Menhut-II/2004;2004-08-05;;;
7593;SK 44/MENHUT-II/2005;2005-01-01;;;add
7594;SK697/mENHUT-II/2010;2010-12-16;2070-12-16;60;
7596;366/Kpts- II/2003;2003-05-07;;;
7596;SK.687/Menhut-  II/2010;2010-12-13;;;
7597;SK.390/MENHUT-II/2006;2006;;35;
7598;SK HTI:308/MENHUT-II/2011;2011-02-06;;;
7599;sk hti 169/menhut-ii/2005;2005-06-16;;;for forest plantation
7599;Minister of Forestry Decree SK Menhut No 252/Menhut-IV/1998;1998-02-26;;;for rubber plantation
7600;338/Menhut-II/2004;2004-09-07;;;
7600;417/Menhut-II/2004;2004-10-19;;;Addendum: concerning the Renewal of Business Permit for the Utilization of Timber Forest Products in Plantation Forests
7601;sk 583/kpts-ii/1997;1997-09-05;;;SK No. 583/Kpts-II/1997 jo. SK.611/Menhut-II/2012 tgl. 31 Oktober 2012
7602;SK. 747/Menhut-II/2012;2012-12-21;;;
7603;sk 5984/menhut-iv/brpuk/2014;2014;;;
7605;SK No. 161/Kpts-II/1997;1997-03-24;;;
7606;SK BUPATI INDRAGILI NO.KPTS.74/IV/2002;2002-04-11;;35;
7606;MENHUT NO.122/MENHUT II/2007;2007-04-02;2007;35;
7607;sk:840/kps.840/kpts-II/1999;1993-07-06;2048-07-05;55;
7607;513/Menhut-II/2005;2005;;;
7608;sk hti:326/menhut-VI/BUH;2011;;;still an application, not yet approved
7609;sk HTI:70/Menhut-II/2005;2005;;;Decision Letter: 1013/Kpts/III/Hut/2013 (18 Maret 2013)
7619;;2014-01-21;;;
7621;;2009;;15;leased from 830 individual  Landowners as at April 2018)
7625;;2010;2025;15;leased land directly from landowners.
7659;10-005A;2006;2036;30;Concession number 1051 which is FMU number 10-005(A) was classified in 2005-01-26. It was first attributed to STBK temporarily  from the year 2001-2004
7683;;2014-02-09;;30;
7722;;;;;"China EXIM Bank agreed to provide a loan of $215.96 million (Nepali Rupees 23.26 billion) on March, 2016 at 2% per annum

http://www.nepaliaviator.com/pokhara-regional-international-airport-facts-figures/"
7726;;2016-03-31;2115-03-31;99;
7739;;2009-02-25;;;Information about the contract is from the judicial decision. There also was mentioned about additional agreements 2014-05-12
7838;;2014;;40;Other reports claims the duration of the agreement is 20 years.
7865;;;;;At first, the military commandeered for the East military department, but in 2001, they  handed over Shwe Thun Lwin Company.
7870;CFMA Bluyeama;;;15;The people of Bluyeama Clan signed a CFMA with the FDA as a legal contract made and entered into on 10 January 2012. The CFMA is valid for 15 year and subject to revision which can either lead to extension or cancellation. The community further sub-contracted the forest management  to  SAPLI (a logging company) on January 30th, 2016. This MOU covers a period of 15 years .
7877;CFMA 4;2011;2026;15;
7879;CFMA Doru;2011;2031-05-31;;
7880;;;;;They singed MOU in 2015 and another contract (M)N) singed in 2017 and the project started in 2018.
7891;;2015-06-09;2114-06-08;99;Permanent lease deed had been signed in June 9, 2015 for 571 hectares of land.
7892;Sewaca CFMA;2017-06-25;2032-06-25;15;The Sewacujoe CFMA contract was issued on June 25, 2017 for 15 years (expires 2032). The community entered into a 15-year agreement with Mandra the same year.
7897;8955C;;2042-12-05;25;The latest agreement, Mining Concession 8955C, is set to be valid for a 25-year period up to 5 December 2042
7903;;;2019-06-18;;A source indicated that the area is controlled by the investor since February 1991 but it is unclear if the current permit that will ended in 2019 is the same with the one that started in 1991
7911;N° 005/CR/D;2013-07-04;;;There are non expiration date and no duration for the agreement
7968;;2010-06-08;2023-06-07;13;
7971;;2018-02-20;;30;
7975;09/HGU/BPN/2000;2000;;;
8062;11/HGU/BPN/2000;2000-01-01;;;
8083;;2009;;;
8094;;;2039;;
8102;;2009;;;location  permits  (izin  lokasi) in 2009
8105;;;;;GFW data does not contain any HGU information and there could not be gathered any addtional information based on reports
8107;;;;;GFW data does not contain any HGU information and there could not be gathered any addtional information based on reports
8108;;;;;GFW data does not contain any HGU information and there could not be gathered any addtional information based on reports
8111;2012-448;2012-04-12;;;DECRET n° 2012-448 du 12 avril 2012
8113;;;;;GFW data does not contain any HGU information and there could not be gathered any addtional information based on reports
8117;;;;;GFW data does not contain any HGU information and there could not be gathered any addtional information based on reports.
8119;;2009-05-12;;;No HGU but ForestPeople Report mentions that there is a location permit (izin lokasi) from the local government  in Kapuas Hulu.
8136;;2016;2046;30;Signed between Bolloré and the Government of Timor-Leste in 2016
8177;07/HGU/BPN/2001;2001;;;
8180;22/HGU/BPN/2003;2003;;;
8183;;2013-06-05;2023-06-05;10;Information if from judicial decision.
8207;;2004;;;HGU (land use permit) exists. The year is not entirley clear. There is a forest release permit (K.516/MENHUT-II/2012).
8208;No.525/90/V/2011;2011;;;"Decision of the Governor of West Papua province No.525/90/V/2011 on ""Business Plantation Permit (IUP) for ±25,159ha. Area revision in 2014."
8209;;2010;;;Plantation permit: No.95 Year 2010 / No. 132 Year 2010. In 2014, a  “Peta  Kadastral”  (Peta Bidang Tanah) Number 012-33.05-2014 signed by National Land Body , covering area of 32,025.14 ha was obtained (area changed slightly compared to the plantation permit). The area under contract refers to the area under this permit.
8222;;2010;;;In 2010 PT Tandan Sawita Papua obtained a 26,300 hectare location permit, which later was reduced to a plantation permit for 18,337 hectares of oil palm. No exact information available.
8223;;2008;2038;30;No contract number.
8232;59/HGU/BPN/2000;2000;;;
8234;30/HGU/BPN/2001;2001;;;
8235;61/HGU/BPN/2000;2000;;;
8236;105/HGU/BPN/2005;2005-11-07;;;
8238;FTAA-04-2009-II;2009-09-19;2034-09-19;25;
8242;11/HGU/BPN/2002;2002;;;
8246;№ 24/1;2008-12-09;2057-12-09;49;There are 9 additional contract agreements.
8263;;;;5;
8280;;;;;"Contract number is not exactly known, not shure if the found contract belongs to this deal (see source section); The company has Location Permit or Ijin Lokasi"
8281;;2017-09-11;2042-09-10;25;
8283;;2014-03-12;2039;25;
8284;;2014-04-10;2039;25;
8295;Contract number is not exactly known, not shure if the found contract belongs to this deal (see source section);;;;
8298;;2014-04-04;2039-04-04;25;For 25 years (It will expire in 2039)
8301;;2011-04-16;2026-04-15;15;
8302;MPSA No. 190-2004-XIII;2004-02-06;2029-02-06;25;
8303;MPSA No. 192-2004-V;2004-05-22;2029-05-22;25;
8304;;2017-10-15;2042-10-14;25;
8305;;2019-09-03;2044-09-02;25;
8306;MPSA No. 178-2002-XIII;2002-11-21;2027-11-21;25;Contract was cancelled on January 2016.
8307;MPSA No. 230-2007-X;2007-03-29;2032-03-29;25;Contract was cancelled on April 2019.
8308;MPSA No. 189-2004-III;2004-01-19;2029-01-19;25;
8309;MPSA No. 206-2004-IVA;2004-08-27;2029-08-27;16;
8309;MPSA No. 206-2004-IVA;2029-08-27;2035-08-27;6;Contract was extended for another 6 years in August 2020.
8310;MPSA No. 208-2005-VII;2005-03-04;2025-03-04;25;
8311;;2013-11-01;2028-10-31;15;
8313;;2013-11-01;2028-10-31;15;
8314;;2012-06-29;2027-06-28;15;
8315;;2017-09-07;2042-09-06;25;
8316;;2013-11-01;2028-10-31;12;
8317;;2013-11-01;2028-10-31;15;
8319;MPSA No. 211-2005-V;2005-04-28;2030-04-28;;
8320;MPSA No. 217-2005-V;2005-08-02;2030-08-02;25;
8331;;2015-10-01;2040-09-30;25;
8332;;2017-09-07;2042-09-06;25;
8334;;2014-04-03;2039-04-02;25;
8335;;2012-09-22;2027-09-21;15;
8336;;2014-06-23;2039-06-22;25;
8337;;2017-09-10;2042-09-09;25;
8338;;2017-09-07;2042-09-06;25;
8339;;2010-08-16;2025-08-15;15;
8340;;2013-11-02;2028-11-01;15;
8341;;2017-09-10;2042-09-09;25;
8342;;2014-05-12;2039-05-11;25;
8343;;2017-06-02;2040-06-01;23;
8345;;;;29;Build-Operate-Transfer (BOT) contract
8356;;;;;Contract number is not known
8381;;;;;Could not find any information about the contract number
8382;;;;;Could not find any information about the contract number
8383;;;;;Could not find any information about the contract number
8384;;;;;Could not find any information about the contract number
8390;;;;;Ijin Lokasi (Location Permit)
8402;;2013-11-01;2028-11-01;15;
8404;;2018-06-01;2039-06-01;21;for 21 years
8405;;2013-04-10;2028-04-09;15;
8406;;2014-05-27;2039-05-26;25;
8408;;2010-08-04;2025-08-03;15;
8409;;2016-06-10;2041-06-09;25;
8410;;2014;2029;15;
8411;;2014;2029;15;
8415;;2014;2029;15;
8416;;2014;2029;15;
8417;;2015-02-16;2040-02-15;25;
8418;;2014;2029;15;
8419;;2015-02-16;2040-02-15;25;
8431;;;;;Contract Number is not known
8432;;;;;contract number is not known
8433;;;;;CP Group does not have formal contracts with the cultivators.
8434;;2005-04-18;2025-04-17;20;
8435;;2015-01-13;2040-01-12;25;
8436;;2018-01-16;2048-01-15;30;
8438;;2017-02-28;2042-02-27;25;
8439;;2005-08-09;2025-08-08;20;
8440;;2011-05-17;2026-05-16;15;
8441;;2011-04-29;2026-04-28;15;
8442;;2010-12-22;2025-12-21;15;
8443;;2017-03-23;2042-03-22;25;
8445;;2012-05-08;2027-05-07;15;
8446;;2018-04-24;2038-04-23;30;
8447;;2012-10-07;2020-10-06;8;
8448;;2015-03-16;2039-03-15;24;
8449;;2013-01-22;2028-01-21;15;
8461;;2014-07-17;2039-07-16;25;
8463;;2007-02-27;2022-02-26;15;
8464;;2010-09-07;2025-09-06;15;
8465;;2016-02-22;2041-02-21;25;
8475;047/11;2011-10-24;2036-10-23;25;Signed by Jose Pinto da Silva
8476;046/11;2011-10-24;2036-10-23;25;Concession 046/11
8477;005/18;2011-08-04;2036-08-03;25;"Previously contract 003/11 by La Forestiere.
The contract is signed by Mr Abdul Karim Ammacha, and not by Jose Pinto de Silva who signed earlier concessions for CFT."
8484;36/HGU/BPN RI/2013;2013-05-16;;;
8487;69/HGU/BPN RI/2009;2009-05-08;;;
8494;;;;;HGU is not known
8498;SK Bupati Merauke 339/2013;2013-01-01;;;This is only a location permit - no information on the HGU.
8499;;;;;No clear information on the contract
8506;;;;10;
8547;Ka. BPN RI 71/HGU/BPN RI/2014;2014-04-02;;;
8549;Menteri ATR/BPN RI 42/HGU/KEM-ATR/BPN/2017;2017-03-23;;;
8551;20/HGU/KEM-ATR/BPN/2018;2018-05-11;;;
8552;63-HGU-BPN RI-2009;2009-04-30;;;
8553;62-HGU-BPN RI-2009;2009-04-27;;;
8559;26/HGU/BPN/2000;2000-06-14;;;
8563;Kepala BPN RI / 1-HGU-BPN RI-2009;2009-01-07;;;
8565;Kepala BPN RI / 2-HGU-BPN RI-2009;2009-01-07;;;
8583;;;;;Contract number is not known.
8606;;;;;The authorization to operate a small mine is granted for a period of 3 years from the date of signature of this decree. It is renewed in the same forms and for the same duration until the exploited deposit is exhausted.
8619;;;;25;
8625;;2007;2027-11-02;10;Conflicting information. Decree states 10 years renewable, ITIE report states valid until 2027
8659;;2011-02-21;;15;
8660;;2010-12-29;;15;
8661;;2010-12-29;;15;
8662;;2014-03-25;;25;
8663;;2019-10-10;;30;
8664;;2020-02-25;;30;
8665;;2018-09-03;;30;
8678;;2005;;25;The land was originally acquired on the basis of a renewable 25-year lease
8730;N 61-Д;2013-11-15;2062-11-15;49;"One of the examples of the contract. The company leases land in JSC ""Belgorod Land Fund"""
8867;MPSA No. 222-2005-VIII;2005-12-14;2030-12-14;25;Third Renewal of Two-year Exploration Period Approved on October 13, 2020.
8868;MPSA No. 225-2005-XI;2005-12-15;2030-12-15;25;
8869;MPSA No. 226-2005-III (ZMR);2005-12-16;2030-12-16;25;MPSA is suspended following an order from DENR in 2017.
8870;MPSA No. 227-2006-III;2006-01-17;2031-01-17;25;
8872;MPSA No. 229-2007-IVB;2007-01-03;2032-01-03;25;Operations of the mining company was suspended in 2017.
8873;MPSA No. 231-2007-VI;2007-03-29;2032-03-29;25;
8874;MPSA No. 232-2007-XIII (SMR);2007-06-08;2032-06-08;25;
8875;MPSA No. 235-2007-IVB;2007-06-08;2032-06-08;25;
8876;MPSA No. 237-2007-IX;2007-06-08;2032-06-08;25;
8880;MPSA No. 240-2007-XIII  (SMR);2007-07-12;2031-07-12;25;
8881;MPSA No. 242-2007-XIII (SMR);2007-07-12;2031-07-12;25;
8882;MPSA No. 243-2007-XIII  (SMR);2007-07-17;2032-07-17;25;
8883;MPSA No. 244-2007-III;2007-07-25;2032-07-25;25;
8884;MPSA No. 246-2007-XIII  (SMR);2007-07-25;2032-07-25;25;
8885;MPSA No. 247-2007-XIII (SMR) AMENDED A;2007-07-27;2032-07-27;25;The approval of Kafugan Mining, Inc. as the authorized Operator of Ludgoron Mining Corporation was granted on December 2, 2015.
8886;MPSA No. 249-2007-VIII  (OMR);2007-07-27;2032-07-27;25;
8887;MPSA No. 250-2007-III;2007-07-28;2032-07-28;25;
8888;MPSA No. 251(A)-2007- XI;2008-07-28;2033-07-28;25;
8889;MPSA No. 254-2007-VIII;2008-07-28;2033-07-28;25;
8906;052/14;2014-04-25;;;
8938;;2015;;5;Datos obtenidos del Geoportal Territorios en Riesgo de la Universidad Nacional Autonoma de Honduras (UNAH) , manejado por el Observatorio Universitario de Ordenamiento Territorial (OUOT) https://territoriosenriesgo.unah.edu.hn/
8970;2010/2606;2010-09-24;;;
8971;0147;1998-03-27;;;
8985;0149;1998-03-27;;;
8987;08 004;1998-03-27;;;
8996;0592;2006-11-22;2024;15;Provisional operating agreement No. 0592/C PE/MINFOF/SG/DF of 22 November 2006 was signed between CAFECO and the Cameroonian government represented by the Ministry of Forests and Wildlife for a period of three years which will be followed by a final agreement of 15 years renewable once.
9014;0181;2012-12-07;;;
9033;0177;2012-12-06;;;
9044;1018;2010-07-23;;;FMU number: 10.021, Concession number: 1018. Decree number:  2005/0254 / PM
9079;0057;2013-02-15;;;
9080;0347;2002-10-23;;3;UFA 09-016. Provisional Operating Agreement has maximum validity three (03) years non-renewable
9090;0612;2006-12-05;;;
9108;0144;2006-03-24;;;UFA 09 011, concession number 0144
9109;0151;1998-03-27;;;
9110;0160;2014-09-30;;;
9112;1033;2012-02-13;;;
9114;0054;2013-02-13;;;
9115;2000/73;2000-09-18;;;
9117;1067;2010;;;
9124;11-002;2012-12-06;;;UFA 11-002. concession number 1068
9126;1078;2012-08-01;;;Forest concession 1078 made up of the forest management unit 09 022
9130;10-036;2013-02-04;;;FMU number 10-036  and attributed in 2013-02-04. concession number 1103
9137;09-021;2005-02-14;;;Concession number 1006, FMU 09-021
9138;;2017-07-25;2022-07-25;5;Esta concesión minera fue otorgada para exploración por 5 años
9158;11-004;2014-07-14;;;
9173;09-017 and 09-018;2010-10-05;;;Incorporated into the private domain of the State by decrees n ° 7006/2950 / PM and 2006/2951 / PM of December 27, 2006 as Forest Development Units called UFA 09-017 and UFA 09-018. concession number 2010/2661
9190;10-065;2012-03;;3;UFA 10-065-It should also be noted that this FMU is located near the Deng Deng forest reserve and belongs to the Technical Operational Unit (UTO) by Deng Deng being created. Concession number 1090. 3 years renewable.
9234;2014/4158;2014-12-04;;;UFA 09-012. Concession number 2014/4158
9238;10-051;2010-09-20;;;forest concession made up of the UFA 10-051. Concession number: 2323
